;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.13931;0.13931
0-1-0-0-0;0.15561;0.15561
0-0-1-0-0;0.12955;0.12955
0-0-0-1-0;0.11161;0.11161
0-0-0-0-1;0.10926;0.10926
1-2-0-0-0;0.18349;0.18349
1-0-2-0-0;0.18067;0.18067
1-0-0-2-0;0.17503;0.17503
1-0-0-0-2;0.17057;0.17057
0-1-2-0-0;0.19184;0.19184
0-1-0-2-0;0.18591;0.18591
0-1-0-0-2;0.18215;0.18215
0-0-1-2-0;0.16218;0.16218
0-0-1-0-2;0.16104;0.16104
0-0-0-1-2;0.14858;0.14858
1-2-3-0-0;0.16050;0.16050
1-2-0-3-0;0.15643;0.15643
1-2-0-0-3;0.16151;0.16151
1-0-2-3-0;0.15300;0.15300
1-0-2-0-3;0.15711;0.15711
1-0-0-2-3;0.14900;0.14900
0-1-2-3-0;0.16232;0.16232
0-1-2-0-3;0.16640;0.16640
0-1-0-2-3;0.15976;0.15976
0-0-1-2-3;0.14320;0.14320
1-2-3-4-0;0.18406;0.18406
1-2-3-0-4;0.18680;0.18680
1-2-0-3-4;0.18272;0.18272
1-0-2-3-4;0.17601;0.17601
0-1-2-3-4;0.18406;0.18406
1-2-3-4-5;0.16819;0.16819
