;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;474;474
0-1-0-0-0;513;513
0-0-1-0-0;650;650
0-0-0-1-0;501;501
0-0-0-0-1;499;499
1-2-0-0-0;665;665
1-0-2-0-0;847;847
1-0-0-2-0;733;733
1-0-0-0-2;705;705
0-1-2-0-0;810;810
0-1-0-2-0;683;683
0-1-0-0-2;694;694
0-0-1-2-0;824;824
0-0-1-0-2;775;775
0-0-0-1-2;679;679
1-2-3-0-0;659;659
1-2-0-3-0;623;623
1-2-0-0-3;660;660
1-0-2-3-0;772;772
1-0-2-0-3;740;740
1-0-0-2-3;693;693
0-1-2-3-0;747;747
0-1-2-0-3;730;730
0-1-0-2-3;693;693
0-0-1-2-3;722;722
1-2-3-4-0;818;818
1-2-3-0-4;798;798
1-2-0-3-4;773;773
1-0-2-3-4;842;842
0-1-2-3-4;843;843
1-2-3-4-5;750;750
