;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.13741;0.13741
0-1-0-0-0;0.15575;0.15575
0-0-1-0-0;0.12909;0.12909
0-0-0-1-0;0.10992;0.10992
0-0-0-0-1;0.10783;0.10783
1-2-0-0-0;0.18332;0.18332
1-0-2-0-0;0.17979;0.17979
1-0-0-2-0;0.17294;0.17294
1-0-0-0-2;0.16894;0.16894
0-1-2-0-0;0.19237;0.19237
0-1-0-2-0;0.18585;0.18585
0-1-0-0-2;0.18180;0.18180
0-0-1-2-0;0.16083;0.16083
0-0-1-0-2;0.15994;0.15994
0-0-0-1-2;0.14671;0.14671
1-2-3-0-0;0.15942;0.15942
1-2-0-3-0;0.15568;0.15568
1-2-0-0-3;0.16064;0.16064
1-0-2-3-0;0.15178;0.15178
1-0-2-0-3;0.15620;0.15620
1-0-0-2-3;0.14691;0.14691
0-1-2-3-0;0.16205;0.16205
0-1-2-0-3;0.16586;0.16586
0-1-0-2-3;0.15859;0.15859
0-0-1-2-3;0.14212;0.14212
1-2-3-4-0;0.18374;0.18374
1-2-3-0-4;0.18646;0.18646
1-2-0-3-4;0.18168;0.18168
1-0-2-3-4;0.17487;0.17487
0-1-2-3-4;0.18350;0.18350
1-2-3-4-5;0.16744;0.16744
