mask_rcnn_r50_fpn_1x_coco.py;mask_rcnn_r50_fpn_1x_cityscapes;tp%;tp_s%;tp_m%;tp_l%;fp%;fp_s%;fp_m%;fp_l%;tn%;tn_s%;tn_m%;tn_l%;fn%;fn_s%;fn_m%;fn_l%;oa_full;oa_correct;p_full;p_correct;r_full;r_correct;f1_full;f1_correct;iou_full;iou_correct;cg%;cg_s%;cg_m%;cg_l%;ng%;ng_s%;ng_m%;ng_l%;tcg%;tcg_s%;tcg_m%;tcg_l%;tng%;tng_s%;tng_m%;tng_l%;tig%;tig_s%;tig_m%;tig_l%;ugr11%;ugr11_s%;ugr11_m%;ugr11_l%;ugr31%;ugr31_s%;ugr31_m%;ugr31_l%;ugr13%;ugr13_s%;ugr13_m%;ugr13_l%
1;0;0.43232;nan;nan;0.43232;0.05689;nan;nan;0.05689;0.41713;nan;nan;0.41713;0.09366;nan;nan;0.09366;0.41541;0.84945;0.43306;0.88555;0.40211;0.82226;0.41390;0.84637;0.36194;0.74013;0.57161;0.00000;0.00000;0.57585;0.42839;1.00000;1.00000;0.42415;0.48903;0.00000;0.00000;0.49213;0.36650;1.00000;1.00000;0.36248;0.14447;0.00000;0.00000;0.14539;1.04487;inf;inf;1.03199;2.54376;inf;inf;2.50511;1.63572;inf;inf;1.62283
0;1;0.44155;nan;nan;0.44155;0.06206;nan;nan;0.06206;0.41903;nan;nan;0.41903;0.07737;nan;nan;0.07737;0.48134;0.86058;0.49092;0.87769;0.47479;0.84885;0.47928;0.85688;0.42317;0.75657;0.66074;0.00000;0.00000;0.66564;0.33926;1.00000;1.00000;0.33436;0.55933;0.00000;0.00000;0.56296;0.28719;0.90909;1.00000;0.28278;0.15348;0.09091;0.00000;0.15426;0.78786;inf;inf;0.77633;1.81476;inf;inf;1.78094;1.33666;inf;inf;1.32437
