mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_X-101-64x4d-FPN;hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);scnet_X-101-64x4d-FPN;bbox_ap;mask_ap;tp;tp%;tp_s;tp_s%;tp_m;tp_m%;tp_l;tp_l%;tp_2;tp_2%;tp_2_s;tp_2_s%;tp_2_m;tp_2_m%;tp_2_l;tp_2_l%;fp;fp%;fp_s;fp_s%;fp_m;fp_m%;fp_l;fp_l%;fp_2;fp_2%;fp_2_s;fp_2_s%;fp_2_m;fp_2_m%;fp_2_l;fp_2_l%;tn;tn%;tn_s;tn_s%;tn_m;tn_m%;tn_l;tn_l%;tn_2;tn_2%;tn_2_s;tn_2_s%;tn_2_m;tn_2_m%;tn_2_l;tn_2_l%;fn;fn%;fn_s;fn_s%;fn_m;fn_m%;fn_l;fn_l%;fn_2;fn_2%;fn_2_s;fn_2_s%;fn_2_m;fn_2_m%;fn_2_l;fn_2_l%;cg;cg%;cg_s;cg_s%;cg_m;cg_m%;cg_l;cg_l%;c_cg;c_cg%;c_cg_s;c_cg_s%;c_cg_m;c_cg_m%;c_cg_l;c_cg_l%;ig;ig%;ig_s;ig_s%;ig_m;ig_m%;ig_l;ig_l%;c_ig;c_ig%;c_ig_s;c_ig_s%;c_ig_m;c_ig_m%;c_ig_l;c_ig_l%;ng;ng%;ng_s;ng_s%;ng_m;ng_m%;ng_l;ng_l%;c_ng;c_ng%;c_ng_s;c_ng_s%;c_ng_m;c_ng_m%;c_ng_l;c_ng_l%
0;1;0;2;0;0.320;0.259;10518238;0.39659;0;nan;0;nan;10518238;0.39659;10518238;0.37800;0;nan;0;nan;10518238;0.39659;1756566;0.06623;0;nan;0;nan;1756566;0.06623;2138172;0.07684;0;nan;0;nan;1756566;0.06623;12548837;0.47316;0;nan;0;nan;12548837;0.47316;13471627;0.48414;0;nan;0;nan;12548837;0.47316;1697759;0.06401;0;nan;0;nan;1697759;0.06401;1697759;0.06101;0;nan;0;nan;1697759;0.06401;2660;0.58513;0;0.00000;0;0.00000;2660;0.59256;2059;0.58528;0;0.00000;0;0.00000;2059;0.59286;544;0.11967;0;0.00000;0;0.00000;544;0.12119;351;0.09977;0;0.00000;0;0.00000;351;0.10107;1342;0.29520;11;1.00000;46;1.00000;1285;0.28626;1108;0.31495;9;1.00000;36;1.00000;1063;0.30608
0;1;0;0;2;0.315;0.257;10415889;0.39788;0;nan;0;nan;10415889;0.39788;10415889;0.37778;0;nan;0;nan;10415889;0.39788;1706977;0.06521;0;nan;0;nan;1706977;0.06521;2135208;0.07744;0;nan;0;nan;1706977;0.06521;12406643;0.47393;0;nan;0;nan;12406643;0.47393;13371079;0.48497;0;nan;0;nan;12406643;0.47393;1648807;0.06298;0;nan;0;nan;1648807;0.06298;1648807;0.05980;0;nan;0;nan;1648807;0.06298;2581;0.57896;0;0.00000;0;0.00000;2581;0.58646;1995;0.57476;0;0.00000;0;0.00000;1995;0.58231;456;0.10229;0;0.00000;0;0.00000;456;0.10361;304;0.08758;0;0.00000;0;0.00000;304;0.08873;1421;0.31875;11;1.00000;46;1.00000;1364;0.30993;1172;0.33765;9;1.00000;36;1.00000;1127;0.32896
0;0;1;2;0;0.313;0.255;10449528;0.39757;0;nan;0;nan;10449528;0.39757;10449528;0.37825;0;nan;0;nan;10449528;0.39757;1755784;0.06680;0;nan;0;nan;1755784;0.06680;2175798;0.07876;0;nan;0;nan;1755784;0.06680;12428131;0.47285;0;nan;0;nan;12428131;0.47285;13350410;0.48326;0;nan;0;nan;12428131;0.47285;1649927;0.06277;0;nan;0;nan;1649927;0.06277;1649927;0.05972;0;nan;0;nan;1649927;0.06277;2576;0.57551;0;0.00000;0;0.00000;2576;0.58294;1984;0.57192;0;0.00000;0;0.00000;1984;0.57944;474;0.10590;0;0.00000;0;0.00000;474;0.10726;302;0.08706;0;0.00000;0;0.00000;302;0.08820;1426;0.31859;11;1.00000;46;1.00000;1369;0.30980;1183;0.34102;9;1.00000;36;1.00000;1138;0.33236
0;0;1;0;2;0.308;0.255;10380462;0.39799;0;nan;0;nan;10380462;0.39799;10380462;0.37739;0;nan;0;nan;10380462;0.39799;1710536;0.06558;0;nan;0;nan;1710536;0.06558;2149323;0.07814;0;nan;0;nan;1710536;0.06558;12368115;0.47420;0;nan;0;nan;12368115;0.47420;13352903;0.48546;0;nan;0;nan;12368115;0.47420;1622942;0.06222;0;nan;0;nan;1622942;0.06222;1622942;0.05900;0;nan;0;nan;1622942;0.06222;2472;0.56425;0;0.00000;0;0.00000;2472;0.57169;1899;0.55413;0;0.00000;0;0.00000;1899;0.56150;379;0.08651;0;0.00000;0;0.00000;379;0.08765;260;0.07587;0;0.00000;0;0.00000;260;0.07688;1530;0.34924;11;1.00000;46;1.00000;1473;0.34066;1268;0.37000;9;1.00000;36;1.00000;1223;0.36162
0;0;0;1;2;0.315;0.257;10482771;0.39918;0;nan;0;nan;10482771;0.39918;10482771;0.37885;0;nan;0;nan;10482771;0.39918;1789648;0.06815;0;nan;0;nan;1789648;0.06815;2232640;0.08069;0;nan;0;nan;1789648;0.06815;12382500;0.47152;0;nan;0;nan;12382500;0.47152;13348938;0.48243;0;nan;0;nan;12382500;0.47152;1605786;0.06115;0;nan;0;nan;1605786;0.06115;1605786;0.05803;0;nan;0;nan;1605786;0.06115;2588;0.57575;0;0.00000;0;0.00000;2588;0.58315;2005;0.57598;0;0.00000;0;0.00000;2005;0.58353;493;0.10968;0;0.00000;0;0.00000;493;0.11109;314;0.09020;0;0.00000;0;0.00000;314;0.09139;1414;0.31457;11;1.00000;46;1.00000;1357;0.30577;1162;0.33381;9;1.00000;36;1.00000;1117;0.32509
1;2;3;0;0;0.319;0.253;10252130;0.38833;0;nan;0;nan;10252130;0.38833;10252130;0.37186;0;nan;0;nan;10252130;0.38833;1484800;0.05624;0;nan;0;nan;1484800;0.05624;1822746;0.06611;0;nan;0;nan;1484800;0.05624;12742652;0.48266;0;nan;0;nan;12742652;0.48266;13574200;0.49235;0;nan;0;nan;12742652;0.48266;1921133;0.07277;0;nan;0;nan;1921133;0.07277;1921133;0.06968;0;nan;0;nan;1921133;0.07277;2609;0.58042;0;0.00000;0;0.00000;2609;0.58788;2007;0.57672;0;0.00000;0;0.00000;2007;0.58428;493;0.10968;0;0.00000;0;0.00000;493;0.11109;313;0.08994;0;0.00000;0;0.00000;313;0.09112;1393;0.30990;11;1.00000;46;1.00000;1336;0.30104;1160;0.33333;9;1.00000;36;1.00000;1115;0.32460
1;2;0;3;0;0.321;0.254;10274155;0.38642;0;nan;0;nan;10274155;0.38642;10274155;0.37025;0;nan;0;nan;10274155;0.38642;1497058;0.05631;0;nan;0;nan;1497058;0.05631;1832999;0.06606;0;nan;0;nan;1497058;0.05631;12841816;0.48300;0;nan;0;nan;12841816;0.48300;13667338;0.49253;0;nan;0;nan;12841816;0.48300;1974771;0.07427;0;nan;0;nan;1974771;0.07427;1974771;0.07116;0;nan;0;nan;1974771;0.07427;2691;0.58297;0;0.00000;0;0.00000;2691;0.59026;2081;0.58521;0;0.00000;0;0.00000;2081;0.59271;614;0.13302;0;0.00000;0;0.00000;614;0.13468;389;0.10939;0;0.00000;0;0.00000;389;0.11079;1311;0.28401;11;1.00000;46;1.00000;1254;0.27506;1086;0.30540;9;1.00000;36;1.00000;1041;0.29650
1;2;0;0;3;0.318;0.253;10259203;0.38801;0;nan;0;nan;10259203;0.38801;10259203;0.37125;0;nan;0;nan;10259203;0.38801;1473665;0.05574;0;nan;0;nan;1473665;0.05574;1812463;0.06559;0;nan;0;nan;1473665;0.05574;12776013;0.48320;0;nan;0;nan;12776013;0.48320;13630812;0.49326;0;nan;0;nan;12776013;0.48320;1931673;0.07306;0;nan;0;nan;1931673;0.07306;1931673;0.06990;0;nan;0;nan;1931673;0.07306;2627;0.57940;0;0.00000;0;0.00000;2627;0.58678;2027;0.57766;0;0.00000;0;0.00000;2027;0.58516;532;0.11734;0;0.00000;0;0.00000;532;0.11883;342;0.09746;0;0.00000;0;0.00000;342;0.09873;1375;0.30326;11;1.00000;46;1.00000;1318;0.29439;1140;0.32488;9;1.00000;36;1.00000;1095;0.31611
1;0;2;3;0;0.317;0.252;10269489;0.38783;0;nan;0;nan;10269489;0.38783;10269489;0.37152;0;nan;0;nan;10269489;0.38783;1512436;0.05712;0;nan;0;nan;1512436;0.05712;1858600;0.06724;0;nan;0;nan;1512436;0.05712;12765075;0.48208;0;nan;0;nan;12765075;0.48208;13581502;0.49134;0;nan;0;nan;12765075;0.48208;1932335;0.07298;0;nan;0;nan;1932335;0.07298;1932335;0.06991;0;nan;0;nan;1932335;0.07298;2644;0.57881;0;0.00000;0;0.00000;2644;0.58612;2040;0.57872;0;0.00000;0;0.00000;2040;0.58621;566;0.12391;0;0.00000;0;0.00000;566;0.12547;358;0.10156;0;0.00000;0;0.00000;358;0.10287;1358;0.29729;11;1.00000;46;1.00000;1301;0.28841;1127;0.31972;9;1.00000;36;1.00000;1082;0.31092
1;0;2;0;3;0.314;0.252;10263077;0.38934;0;nan;0;nan;10263077;0.38934;10263077;0.37253;0;nan;0;nan;10263077;0.38934;1476403;0.05601;0;nan;0;nan;1476403;0.05601;1828972;0.06639;0;nan;0;nan;1476403;0.05601;12736892;0.48318;0;nan;0;nan;12736892;0.48318;13573476;0.49270;0;nan;0;nan;12736892;0.48318;1883918;0.07147;0;nan;0;nan;1883918;0.07147;1883918;0.06838;0;nan;0;nan;1883918;0.07147;2566;0.57187;0;0.00000;0;0.00000;2566;0.57923;1973;0.56663;0;0.00000;0;0.00000;1973;0.57405;485;0.10809;0;0.00000;0;0.00000;485;0.10948;315;0.09047;0;0.00000;0;0.00000;315;0.09165;1436;0.32004;11;1.00000;46;1.00000;1379;0.31129;1194;0.34291;9;1.00000;36;1.00000;1149;0.33430
